dataset_idx,total_time,prediction,labels,xai_method,Pointing-Game,Top-K Intersection,Sparseness,AUC,Attribution Localisation,Relevance Rank Accuracy,Relevance Mass Accuracy
0,0.017083168029785156,airliner,"('aeroplane',)",ResNet Grad-CAM,True,0.745,0.46066003452210746,0.9355762163004704,0.38833633065223694,0.6550415427223305,0.38833633
0,0.006010770797729492,airliner,"('aeroplane',)",ResNet LaFAM,True,0.581,0.3066843586472788,0.7514539585544378,0.2714012563228607,0.21991999179403016,0.27140126
0,0.006613254547119141,airliner,"('aeroplane',)",SimCLR LaFAM,True,1.0,0.576006081891903,0.9063493475991874,0.47766637802124023,0.6755564673299825,0.47766638
0,0.01772475242614746,airliner,"('aeroplane',)",SimCLR RELAX,True,1.0,0.4379488732681173,0.9291119573148902,0.4394950866699219,0.7500256436557595,0.4394951
0,0.00643610954284668,airliner,"('aeroplane',)",SwAV LaFAM,True,0.561,0.40028309184952743,0.8398074919401458,0.3227965235710144,0.5247717714637399,0.32279652
0,0.01833033561706543,airliner,"('aeroplane',)",SwAV RELAX,True,1.0,0.3603876902655777,0.9027898480773847,0.3637370467185974,0.6927890040004103,0.36373705
1,0.015811681747436523,passenger car,"('train',)",ResNet Grad-CAM,True,0.41200000000000003,0.28825280087259886,0.7555626998140996,0.5915336012840271,0.7125347957954214,0.5915336
1,0.005732297897338867,passenger car,"('train',)",ResNet LaFAM,True,1.0,0.24636482769539508,0.8061296447666039,0.5983991622924805,0.7316880634841497,0.59839916
1,0.005888462066650391,passenger car,"('train',)",SimCLR LaFAM,True,1.0,0.39252462086729273,0.7868692283182104,0.6508672833442688,0.6910133366571108,0.6508673
1,0.01705479621887207,passenger car,"('train',)",SimCLR RELAX,True,1.0,0.24708495259215774,0.7871511516658347,0.5893451571464539,0.7098342265985292,0.58934516
1,0.00657343864440918,passenger car,"('train',)",SwAV LaFAM,True,1.0,0.3094737071045278,0.8650336986581026,0.6509556174278259,0.7493871785283975,0.6509556
1,0.018486499786376953,passenger car,"('train',)",SwAV RELAX,True,0.133,0.3035302616039074,0.6279247560029512,0.5334519743919373,0.5579375960779426,0.533452
2,0.01454472541809082,yawl,"('boat',)",ResNet Grad-CAM,True,0.742,0.5116491262541523,0.8665392040455765,0.2075158655643463,0.5023173692341646,0.20751587
2,0.005780696868896484,yawl,"('boat',)",ResNet LaFAM,True,0.742,0.3851414017222846,0.8325094330148424,0.15429116785526276,0.43941734716398145,0.15429117
2,0.005789518356323242,yawl,"('boat',)",SimCLR LaFAM,True,0.67,0.5032511095754219,0.9349898929005015,0.2321438193321228,0.5208563231074818,0.23214382
2,0.017055988311767578,yawl,"('boat',)",SimCLR RELAX,True,0.291,0.28980670638016753,0.7101151452395263,0.1208902969956398,0.13639373206797617,0.1208903
2,0.0058553218841552734,yawl,"('boat',)",SwAV LaFAM,True,0.742,0.38550122633848743,0.8898990846978394,0.16964930295944214,0.4261752372544692,0.1696493
2,0.0187070369720459,yawl,"('boat',)",SwAV RELAX,True,0.766,0.4012395310293497,0.7490713853777216,0.15774567425251007,0.3222246744647981,0.15774567
3,0.014602422714233398,garbage truck,"('train',)",ResNet Grad-CAM,True,1.0,0.4811520258114358,0.786894884816953,0.7059387564659119,0.6989863375936536,0.70593876
3,0.005600452423095703,garbage truck,"('train',)",ResNet LaFAM,True,1.0,0.3196342737948198,0.8654530972929879,0.6706060171127319,0.7848070836171321,0.670606
3,0.005732297897338867,garbage truck,"('train',)",SimCLR LaFAM,True,1.0,0.4899270299649034,0.8820937392564319,0.7869028449058533,0.783645178092071,0.78690284
3,0.016997575759887695,garbage truck,"('train',)",SimCLR RELAX,True,1.0,0.3380745455563124,0.7243948592962555,0.6178811192512512,0.685243799831724,0.6178811
3,0.00639653205871582,garbage truck,"('train',)",SwAV LaFAM,True,0.999,0.32549095392554384,0.8570384120920757,0.6650397777557373,0.8411795344364759,0.6650398
3,0.01838517189025879,garbage truck,"('train',)",SwAV RELAX,True,1.0,0.4075855086830978,0.694421203948922,0.6219434142112732,0.6579991185544293,0.6219434
5,0.014560461044311523,ram,"('sheep',)",ResNet Grad-CAM,True,0.992,0.4434751879653482,0.8601505640074184,0.6830241680145264,0.7915857897350246,0.68302417
5,0.0056951045989990234,ram,"('sheep',)",ResNet LaFAM,True,0.713,0.30352590379174366,0.7985466219082742,0.5737115144729614,0.6660497449555365,0.5737115
5,0.0057489871978759766,ram,"('sheep',)",SimCLR LaFAM,True,0.992,0.5101709562135499,0.877344970316934,0.7263312935829163,0.7450006771091952,0.7263313
5,0.017055749893188477,ram,"('sheep',)",SimCLR RELAX,True,0.992,0.3833986788327948,0.7152500822097017,0.5957868695259094,0.6241141154696881,0.59578687
5,0.006192922592163086,ram,"('sheep',)",SwAV LaFAM,True,0.992,0.4073736953468845,0.9069931148878505,0.6936067342758179,0.8331602943167968,0.69360673
5,0.019013643264770508,ram,"('sheep',)",SwAV RELAX,True,1.0,0.23612682754540149,0.6853957499192255,0.5180136561393738,0.5610526790953821,0.51801366
8,0.01516580581665039,Arabian camel,"('horse',)",ResNet Grad-CAM,True,0.999,0.42638717197685105,0.8062112677698201,0.3106081187725067,0.503681723266293,0.31060812
8,0.005738496780395508,Arabian camel,"('horse',)",ResNet LaFAM,True,0.16,0.37801882696336797,0.7799427481229027,0.2820291519165039,0.4526871084734586,0.28202915
8,0.0060253143310546875,Arabian camel,"('horse',)",SimCLR LaFAM,True,0.999,0.5628872049898265,0.7944057764099361,0.3551962673664093,0.47148038245961094,0.35519627
8,0.01706671714782715,Arabian camel,"('horse',)",SimCLR RELAX,True,0.23800000000000002,0.29330246322661374,0.8128414114437397,0.26447421312332153,0.5147818441586988,0.2644742
8,0.0062863826751708984,Arabian camel,"('horse',)",SwAV LaFAM,True,0.999,0.448526299777052,0.8765921606786296,0.3616815209388733,0.5788548192109023,0.36168152
8,0.018263816833496094,Arabian camel,"('horse',)",SwAV RELAX,True,0.999,0.2992659707953476,0.7612139621084753,0.26365408301353455,0.47851412243103636,0.26365408
11,0.014595508575439453,ox,"('cow',)",ResNet Grad-CAM,True,0.964,0.6190051307441373,0.9638410215976074,0.2777855396270752,0.5755560651226783,0.27778554
11,0.005639314651489258,ox,"('cow',)",ResNet LaFAM,True,0.964,0.502516240211934,0.9652299359634622,0.22282803058624268,0.6539784453107086,0.22282803
11,0.00574493408203125,ox,"('cow',)",SimCLR LaFAM,True,0.892,0.5627735695675323,0.9601509170093586,0.30031588673591614,0.6828709011694566,0.3003159
11,0.0169217586517334,ox,"('cow',)",SimCLR RELAX,True,0.964,0.3428283708143384,0.8672781597265034,0.1589868664741516,0.33203393717037377,0.15898687
11,0.006523609161376953,ox,"('cow',)",SwAV LaFAM,True,0.892,0.5343694788960173,0.9601201661377898,0.2738373279571533,0.6023847741343729,0.27383733
11,0.01929163932800293,ox,"('cow',)",SwAV RELAX,True,0.892,0.2930313775931914,0.7916925174105415,0.12985876202583313,0.2951157991286402,0.12985876
12,0.014657258987426758,ox,"('cow',)",ResNet Grad-CAM,True,0.581,0.3200768315737594,0.5296475367558602,0.7283309698104858,0.7695557902929894,0.72833097
